Image,Image area,Number of edges,Length of bounded box,Width of bounded box,Area of bounded box,Difference of area,Percentage filled area,Compactness factor,Complexity Level,Design family,DBSCAN_Labels
280,147237.0,5,338,453,153114,5877.0,3.838316548454093,94.92707334836304,1,4,1
281,107566.5,8,337,452,152324,44757.5,29.383091305375387,73.4715793388593,2,3,26
282,104465.0,8,338,452,152776,48311.0,31.62211342095617,70.98392944433286,2,1,5
283,129566.0,6,338,452,152776,23210.0,15.192176781693458,84.10593114875961,1,0,0
284,71345.0,11,337,452,152324,80979.0,53.162338173892486,43.57587871415488,0,5,28
285,81582.0,9,338,452,152776,71194.0,46.60025134837933,55.53853749928784,0,3,44
286,136323.5,5,338,452,152776,16452.5,10.76903440330942,89.86519693338407,1,4,1
287,149251.0,4,338,452,152776,3525.0,2.3072995758496098,95.19779065830764,1,4,16
288,98571.5,6,338,452,152776,54204.5,35.47972194585537,68.35763012331073,0,1,21
289,139479.5,5,338,452,152776,13296.5,8.70326491071896,91.59196371022756,1,4,1
290,111372.0,8,338,452,152776,41404.0,27.101115358433265,82.27317714620733,2,1,6
291,105047.0,9,338,452,152776,47729.0,31.2411635335393,77.71556796616149,2,1,33
292,111372.0,8,338,452,152776,41404.0,27.101115358433265,82.27317714620733,2,1,6
293,128018.5,7,337,452,152324,24305.5,15.95644809747643,84.96846662036573,1,0,4
294,122851.5,6,338,453,153114,30262.5,19.764685136564918,78.97891322604096,2,2,10
295,135780.0,7,338,453,153114,17334.0,11.32097652729339,86.28688756285962,1,0,4
296,106840.5,6,338,453,153114,46273.5,30.22159959246052,75.52754000494907,2,1,2
297,107566.5,8,337,452,152324,44757.5,29.383091305375387,73.4715793388593,2,3,26
298,131174.0,5,338,452,152776,21602.0,14.13965544326334,90.03113563622311,1,2,1
299,110290.0,4,338,452,152776,42486.0,27.80934178143164,76.77246191763132,2,1,20
300,103886.0,7,338,452,152776,48890.0,32.00109964915956,73.96580703532956,2,1,3
301,114131.5,5,338,452,152776,38644.5,25.29487615855894,79.30377255468858,2,1,14
302,150234.5,6,338,452,152776,2541.5,1.6635466303607898,97.59044646838294,1,0,15
